Team1_Pyth,Team1_Luck,Team1_SOS_Pyth,Team1_NCSOS_Pyth,Team2_Pyth,Team2_Luck,Team2_SOS_Pyth,Team2_NCSOS_Pyth
15.29,-0.032,9.18,-4.2,22.56,0.045,10.71,1.1
15.29,-0.032,9.18,-4.2,-0.74,0.07,-4.52,-3.62
15.29,-0.032,9.18,-4.2,5.6,0.126,0.94,4.06
15.29,-0.032,9.18,-4.2,32.79,0.008,3.38,1.99
15.29,-0.032,9.18,-4.2,22.43,0.057,3.16,-3.79
15.29,-0.032,9.18,-4.2,-3.13,-0.025,-6.67,0.92
15.29,-0.032,9.18,-4.2,15.96,0.057,10.57,-6.6
15.29,-0.032,9.18,-4.2,21.85,-0.051,10.36,-1.45
15.29,-0.032,9.18,-4.2,20.71,0.08800000000000001,13.89,10.99
15.29,-0.032,9.18,-4.2,20.22,0.061,10.05,-0.5
15.29,-0.032,9.18,-4.2,27.42,0.037000000000000005,11.03,2.26
15.29,-0.032,9.18,-4.2,10.87,0.006,-4.56,-2.83
15.29,-0.032,9.18,-4.2,20.97,-0.054000000000000006,13.0,6.05
15.29,-0.032,9.18,-4.2,20.97,0.035,9.5,3.09
15.29,-0.032,9.18,-4.2,18.42,0.006999999999999999,7.65,0.79
15.29,-0.032,9.18,-4.2,19.98,0.001,11.08,-4.62
15.29,-0.032,9.18,-4.2,29.44,-0.014,11.65,-4.94
15.29,-0.032,9.18,-4.2,31.36,-0.006999999999999999,13.58,3.15
15.29,-0.032,9.18,-4.2,14.46,0.08199999999999999,12.07,-2.78
15.29,-0.032,9.18,-4.2,15.09,-0.018000000000000002,8.69,-0.77
15.29,-0.032,9.18,-4.2,20.68,-0.027000000000000003,10.46,2.49
15.29,-0.032,9.18,-4.2,3.55,0.057,-6.59,4.46
15.29,-0.032,9.18,-4.2,13.34,0.033,-4.77,-1.01
15.29,-0.032,9.18,-4.2,-3.2,0.052000000000000005,-3.07,3.73
